iter	Passed	Remaining
185	294	1289
186	296	1288
187	297	1286
188	299	1284
189	300	1283
190	302	1281
191	304	1279
192	305	1278
193	307	1277
194	308	1274
195	310	1273
196	312	1272
197	313	1271
198	315	1269
199	317	1268
200	318	1267
201	320	1266
202	322	1264
203	323	1263
204	325	1261
205	326	1259
206	328	1257
207	329	1255
208	331	1254
209	333	1254
210	335	1252
211	336	1251
212	338	1249
213	339	1247
214	341	1245
215	342	1243
216	344	1241
217	345	1239
218	347	1237
219	348	1236
220	350	1234
221	351	1232
222	353	1231
223	355	1230
224	356	1228
225	358	1227
226	359	1225
227	361	1223
228	363	1222
229	364	1220
230	366	1219
231	367	1217
232	369	1216
233	371	1215
234	372	1213
235	374	1212
236	376	1210
237	377	1209
238	379	1207
239	380	1205
240	382	1204
241	383	1202
242	385	1200
243	387	1199
244	389	1198
245	390	1197
246	392	1196
247	394	1195
248	395	1194
249	397	1192
250	399	1190
251	400	1189
252	402	1187
253	403	1186
254	405	1184
255	407	1183
256	408	1181
257	410	1179
258	411	1178
259	413	1176
260	414	1174
261	416	1172
262	417	1170
263	419	1168
264	420	1165
265	421	1163
266	423	1162
267	424	1160
268	426	1158
269	427	1157
270	429	1155
271	430	1153
272	432	1151
273	433	1149
274	435	1147
275	436	1145
276	438	1144
277	439	1142
278	441	1140
279	442	1138
280	444	1137
281	445	1135
282	447	1133
283	448	1131
284	450	1129
285	451	1127
286	453	1126
287	455	1125
288	456	1123
289	458	1121
290	459	1120
291	461	1118
292	463	1117
293	464	1116
294	466	1114
295	468	1113
296	469	1111
297	471	1109
298	472	1108
299	474	1106
300	475	1105
301	477	1103
302	479	1101
303	480	1100
304	482	1098
305	483	1097
306	485	1095
307	486	1093
308	488	1091
309	489	1090
310	491	1088
311	493	1087
312	494	1085
313	496	1084
314	497	1082
315	499	1081
316	501	1080
317	503	1078
318	504	1077
319	506	1075
320	507	1073
321	509	1072
322	511	1071
323	512	1069
324	515	1070
325	517	1069
326	518	1067
327	520	1065
328	521	1064
329	523	1062
330	524	1060
331	526	1059
332	528	1057
333	529	1056
334	531	1054
335	532	1052
336	534	1051
337	535	1049
338	537	1047
339	539	1046
340	540	1044
341	542	1043
342	543	1041
343	545	1040
344	546	1038
345	548	1036
346	549	1034
347	551	1033
348	553	1032
349	555	1032
350	557	1030
351	559	1029
352	560	1027
353	562	1025
354	563	1024
355	565	1022
356	566	1020
357	568	1019
358	569	1017
359	571	1015
360	573	1014
361	574	1012
362	576	1011
363	577	1009
364	579	1007
365	580	1006
366	582	1005
367	584	1003
368	585	1001
369	587	1000
370	588	998
371	590	997
372	592	995
373	593	993
374	595	992
375	597	990
376	598	989
377	600	987
378	601	985
379	603	984
380	604	982
381	606	980
382	607	979
383	609	977
384	610	975
385	612	974
386	613	972
387	615	970
388	616	969
389	618	967
390	620	965
391	621	964
392	623	962
393	624	961
394	626	959
395	628	957
396	629	956
397	631	954
398	632	953
399	634	951
400	636	950
401	637	948
402	639	947
403	641	945
404	642	944
405	644	942
406	645	941
407	647	939
408	649	937
409	650	936
410	652	934
411	653	933
412	655	931
413	656	929
414	658	928
415	660	926
416	661	924
417	662	923
418	664	921
419	666	920
420	667	918
421	669	917
422	671	915
423	672	914
424	674	912
425	676	910
426	677	909
427	679	907
428	680	905
429	682	904
430	684	903
431	685	901
432	687	900
433	688	898
434	690	896
435	691	894
436	693	893
437	694	891
438	696	890
439	698	888
440	699	887
441	701	885
442	703	884
443	704	882
444	706	880
445	707	879
446	709	877
447	710	876
448	712	874
449	714	872
450	715	871
451	717	869
452	718	867
453	720	866
454	721	864
455	723	862
456	724	861
457	726	859
458	728	858
459	729	856
460	731	855
461	733	853
462	734	852
463	736	850
464	737	849
465	739	847
466	741	845
467	742	844
468	744	842
